name,ticker,nomicsid,coingeckoid,statuses,statusreasoning,primarysector,secondarysector,facts_data,opinions,rm_tr,format,coingeckolink,assetdescription,tokendescription,watchlist,messarilink
AEternity,AE,AE,aeternity,Delisted,- Is mainnet and has no supported exchanges.,null,null,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/aeternity,Aeternity is a blockchain-based oracle mechanism for smart contracts focused on low-latency data transfer. Aeternity wants to develop a uniquely efficient data oracle blockchain platform to ameliorate some of the perceived scalability obstacles experienced by the rapidly growing smart contract developer community.,The AE token is used in staking_ as also as gas fee for simple transactions and smart-contract executions.The max supply of the token is 536_306_702.,FALSE,https://messari.io/asset/aeternity
Agrichain,AGRI,AGRI,agrinovuscoin,Delisted,- Token is only on Uniswap with no liquidity to safely trade this asset for clients ,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/agrinovuscoin,null,null,FALSE,null
AION,AION,AION,aion,Active,null,Smart Contract Platform,Single Chain,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/aion,The Open Application Network (The OAN) is an open-source public infrastructure for the creation and hosting of Open Apps. Open Apps are programs built on open standards that strive to put users back in control and are universally accessible across platforms.,AION tokens are used to power cross-chain transactions_ whether of value or data. Tokens can also be staked across pools to help provide liquidity to the ecosystem. The max supply of the token is 487_496_874.,FALSE,https://messari.io/asset/the-open-application-network
AirSwap,AST,AST,absolute-sync-token,Active,null,DeFi,Exchanges (Other),Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/airswap,Airswap is a peer-to-peer_ non-custodial exchange protocol and network for trading ERC20 tokens that allows traders to identify potential counterparties_ negotiate directly (and privately)_ and execute on-chain.,AirSwap can be used for trading AST and other tokens on the blockchain. The platform is used for swapping crypto coins and driving their adoption across the network. Users trade their tokens directly with each other. The max supply of the token is 500_000_000,TRUE,https://messari.io/asset/airswap
Akropolis,AKRO,AKRO,akropolis,Active,null,DeFi,Yield,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/akropolis,Akropolis is a domain-specific protocol that allows users to save in groups and get access to cheap uncollateralized loans_ pensions and other financial services. Akropolis tokenizes credit unions and allows user groups to get uncollateralized loans_ provide capital to pools_ and earn interest out of it.,The AKRO token is the cryptocurrency used to manage and govern the Akropolis platform. Anyone who owns AKRO can vote on proposals that will update the rules users must follow on the network.The max supply of the token is 4_000_000_000.,TRUE,https://messari.io/asset/akropolis
Algorand,ALGO,ALGO,algorand,Active,null,Smart Contract Platform,Multi-Chain / Parachain,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/algorand,"Algorand is a scalable_ secure_ and decentralized digital currency and smart contract platform. Its protocol uses a variation of Proof-of-Stake
 (PoS) called Pure PoS (PPoS) to secure the network and reach consensus on block production. Unlike other PoS models_ PPoS does not reward_ nor does it put validator or user funds at risk of being slashed (a loss of funds used to promote honest node and user behavior). Algorand intends to eventually leverage its PPoS design to form the foundation for an on-chain governance system.",The Algorand blockchain has a native cryptocurrency_ called the Algo_ to incentivize network participation and power transactions or state changes. Users can stake their ALGO in exchange for inflation rewards by signaling their status in the system as offline or online.,FALSE,https://messari.io/asset/algorand
Alien Worlds,TLM,TLM2,alien-worlds,Active,null,Culture & Entertainment,Virtual World,Yes,Yes,No,null,https://www.coingecko.com/en/coins/alien-worlds,null,null,FALSE,https://messari.io/asset/alien-worlds
Alpha Venture DAO,ALPHA,ALPHA7,aavegotchi-alpha,Active,null,DeFi,AMM,Yes,Yes,No,ERC-20,https://coinmarketcap.com/currencies/alpha-finance-lab/,Alpha Finance Lab is a research lab and a decentralized asset management platform across Binance Smart Chain and Ethereum. Alpha Homora_ its most successful product to date_ allows for leveraged yield farming and lending on Ethereum.,ALPHA is the native utility token of the platform. Token holders can earn a share of network fees by staking ALPHA tokens to cover any default loans. Other use cases for the token include liquidity mining and governance voting.,FALSE,https://messari.io/asset/alpha-finance
Ambire AdEx,ADX,ADX,adex,Active,null,Computing,IoT,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/ambire-adex,Ambire is the new name of AdEx Network_ a company developing describes itself as a new-generation solution for digital advertising and a DeFi-focused crypto wallet.,ADX is the native utility token that is used for incentivizing validator uptime and ensuring the smooth running of all advertising campaigns on the Ambire AdEx platform.,FALSE,https://messari.io/asset/adex
Amp,AMP,AMP2,amp-token,Active,null,DeFi,Credit Platform (Other),Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/amp,Amp is a digital collateral token that offers instant_ verifiable collateralization for any kind of value transfer. Projects like Flexa use Amp to secure transactions and build networks that accrue value both securely and transparently.,Amp is a token designed to be used as collateral with smart contract features designed to decentralize risk. Amp holders can use the token as collateral regardless of blockchain consensus mechanism or form of asset.,FALSE,https://messari.io/asset/amp
Ampleforth,AMPL,AMPL,ampleforth,Delisted,- Rebase token - The token supply adjusts based on the token price - this means that the tokens in each wallet increase or decrease based on the price despite value not changing.,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/ampleforth,null,null,FALSE,https://messari.io/asset/ampleforth
Ankr,ANKR,ANKR,ankr,Active,null,Computing,Shared Network,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/ankr-network,Ankr is a decentralized Web3 infrastructure provider that helps developers_ decentralized applications_ and stakers interact easily with an array of blockchains. You can access APIs and RPCs to build DApps easily_ stake on Ankr Earn_ and get custom solutions for blockchain enterprise needs.,ANKR is the native token of the network_ that can be used for staking_ governance_ payments_ and decentralized app creation. Ankr supports over 40 blockchain protocols for staking and development.The max supply of the token is 10_000_000_000.,FALSE,https://messari.io/asset/ankr-network
Apecoin,APE,APE7,ape,Active,null,Culture & Entertainment,Metaverse Platform,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/apecoin,ApeCoin (APE) is a governance and utility token that grants its holders access to the ApeCoin DAO_ a decentralized community of Web3 builders.,In addition to participating in ApeCoin governance_ token holders can purchase products and services_ and pay for in-game assets in play-to-earn games like Benji Bananas by Animoca Brands.,FALSE,https://messari.io/asset/apecoin
API3,API3,API3,api3,Active,null,Computing,Oracle,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/api3,API3 is a collaborative project to deliver traditional API services to smart contract platforms in a decentralized and trust-minimized way. It is governed by a decentralized autonomous organization (DAO)_ namely the API3 DAO. Therefore_ API3's code is open source and its operations are transparent.,The API3 tokens use cases are : staking_ governance_ collateral_ payments and disputes.,FALSE,https://messari.io/asset/api3
APY.Finance,APY,APY,apy-finance,Delisted,"- Limited access to liquidity
- Only listed on one supported decentralised exchange - Uniswap
- Liquidity on Uniswap is very poor.
  ",DeFi,Yield,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/apy-finance,APY.Finance is a smart contract protocol that functions like a robo-advisor for yield-farming. It offers a single place for users to deposit their tokens and the protocol will then do all the work in pooling liquidity from other users_ rebalancing the portfolio_ and distributing gas costs evenly. In short_ APY.Finance makes it cheaper for users to participate in yield-farming.,The APY token is APY.Finance’s native governance token. As the platform is developed further_ APY tokens will be used to shape the direction of its future.,FALSE,https://messari.io/asset/apy-finance
Aragon,ANT,ANT,aragon,Delisted,- Token has security characterstics that deems it too risky for Caleb & Brown to list,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/aragon,null,null,FALSE,https://messari.io/asset/aragon-network
Ardor,ARDR,ARDR,ardor,Active,null,Smart Contract Platform,Multi-Chain / Parachain,Yes,Yes,No,null,https://www.coingecko.com/en/coins/ardor,null,null,TRUE,https://messari.io/asset/ardor
Ark,ARK,ARK,ark,Active,null,Smart Contract Platform,Multi-Chain / Parachain,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/ark,"The ARK Ecosystem allows blockchain developers to customize a sovereign
blockchain complete with required feature sets. ARK’s value proposition lies in the
array of services offered through the ARK Blockchain Platform.",Ark is used as a utility token on the Ark Blockchain_ uses will pay for gas fees using the ark token and receive it as rewards for running validator nodes on the network,TRUE,https://messari.io/asset/ark
Arweave,AR,AR,arweave,Active,null,Computing,Shared Storage,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/arweave,Arweave is a data storage protocol built on blockweave technology. Arweave is developing an underlying network where data can be stored forever and accessed on its permaweb_ a secondary layer where data is accessible in a human-readable manner (e.g. via web browsers).,The native Arweave token (AR) token is a multi-utility token used throughout the Arweave ecosystem. Moreover_ the AR token provides a crucial foundation for network security through incentivization. With two primary use cases_ the AR token rewards network miners and pays for data upload fees within the network. Network miners must first store and serve data to mine fresh AR tokens.,FALSE,https://messari.io/asset/arweave
Audius,AUDIO,AUDIO,audius,Active,null,Culture & Entertainment,Broadcast,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/audius,Audius is a fully decentralized music streaming protocol built with public blockchain infrastructure and other decentralized technologies.,AUDIO is an ERC-20 token that also serves as the governance token on Audius. Holders can stake their AUDIO to help secure the network_ participate in the governance of Audius_ and access exclusive content. They can also get AUDIO rewards from staking.,FALSE,https://messari.io/asset/audius
Augur,REP,REP,augur,Active,null,Culture & Entertainment,Gaming,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/augur,Augur is a software aiming to incentivize a global network of computers to maintain a prediction market platform on top of (ETH).,Augur's Reputation token (REP) is an Ethereum token designed for reporting and disputing the outcome of events on online prediction markets. Reporters are rewarded for reporting the outcome of events correctly.,FALSE,https://messari.io/asset/augur
Aurora DAO,AURA,AURA,aura-finance,Delisted,- Token has no active markets,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/aura-finance,null,null,FALSE,https://messari.io/asset/aura-finance
Aurory,AURY,AURY,aurory,Active,null,Culture & Entertainment,Gaming,Yes,Yes,No,null,https://www.coingecko.com/en/coins/aurory,null,null,FALSE,https://messari.io/asset/aurory
Avalanche,AVAX,AVAX,avalanche-2,Active,null,Smart Contract Platform,Multi-Chain / Parachain,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/avalanche,Avalanche is an open-source platform for launching decentralized finance applications and enterprise blockchain deployments in one interoperable_ scalable ecosystem. Developers who build on Avalanche can create applications and custom blockchain networks with complex rulesets or build on existing private or public subnets.,AVAX is used to secure the Avalanche blockchain and pay transaction fees across the network. Transaction fees and the rate of AVAX coin creation are determined using a governance model.The max supply of this token is 720_000_000.,FALSE,https://messari.io/asset/avalanche
Axie Infinity,AXS,AXS2,axie-infinity,Active,null,Culture & Entertainment,Gaming,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/axie-infinity,"Axie Infinity is a ""play-to-earn"" pet training game and virtual world built on the Ethereum blockchain. Players can collect_ breed_ battle_ and trade in-game pets called Axies. All in-game assets are represented via fungible ERC-20 or non-fungible ERC-721 tokens and thus trade on secondary markets.",Players are able to earn two tokens_ Axie Infinity Shards (AXS) and Small Love Potions (SLP)_ by playing Axie Infinity in either Adventure or Arena modes. AXS serves as a governance token_ allowing token holders to vote on the future development of the gaming experience. SLP is the in-game token used to breed Axies.The max supply of this token is 270_000_000.,FALSE,https://messari.io/asset/axie-infinity
aXpire,AXPR,AXPR,axpire,Delisted,"- Token on Kucoin and Uniswap
-  Very poor liquidity would not be able to safely trade this asset for clients ",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/moola,null,null,FALSE,https://messari.io/asset/axpire
Badger DAO,BADGER,BADGER,badger-dao,Active,null,DeFi,DAO (Other),Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/badger-dao,Badger is an ecosystem DAO with the purpose of building products and infrastructure to accelerate Bitcoin as collateral across blockchains. Badger DAO enables users to earn yields on wrapped Bitcoin tokens via staking vaults with automated yield and re-investment strategies.,The $BADGER token is the native governance token for the Badger DAO_ granting voting rights to $BADGER holders over the future direction and use of the treasury. In the spirit of the Bitcoin protocol's finite supply of 21 million $BTC_ only 21 million $BADGER will ever be issued. The token can be earned as a reward for staking.,FALSE,https://messari.io/asset/badger-dao
Balancer,BAL,BAL,balancer,Active,null,DeFi,AMM,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/balancer,Balancer is a non-custodial automated portfolio manager_ liquidity provider_ and price sensor. The big idea of Balancer is_ it is a new financial primitive that combines asset management and decentralized exchange.,The Balancer native governance token_ BAL_ can be used for governance activities_ i.e._ to vote on proposals_ etc. Every week_ 145_000 BALs_ or approximately 7.5 million per year_ are distributed to liquidity providers.,FALSE,https://messari.io/asset/balancer
Bancor Token,BNT,BNT,bancor,Active,null,DeFi,AMM,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/bancor-network,Bancor is a decentralized exchange (DEX) built on the Ethereum and EOS blockchains. The Bancor protocol employs an automated market maker (AMM) smart contract to facilitate token trades against token liquidity pools without matching buyers and sellers. It has a built-in token called BNT that serves as the common price token to fulfill trades among other smart contract tokens.,In the Bancor Network platform_ BNT tokens are the key to incentivize Bancor's token holders to become active in trading. BNT is mostly used for transaction fees.,FALSE,https://messari.io/asset/bancor
Band protocol,BAND,BAND,band-protocol,Active,null,Computing,Oracle,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/band-protocol,Band Protocol is a decentralized cross-chain data oracle platform that aggregates and connects real-world data and APIs to smart contracts. The protocol runs on BandChain_ an independent Delegated Proof-of-Stake (DPoS) blockchain built using the Cosmos SDK.,BAND is used to pay for transactions on the blockchain_ for governance_ and also to reward validators for generating new blocks. Anyone can stake BAND and delegate it to a validator to earn rewards.,FALSE,https://messari.io/asset/band-protocol
Basic Attention Token,BAT,BAT,basic-attention-token,Active,null,Culture & Entertainment,Social,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/basic-attention-token,Basic Attention Token (BAT) is a blockchain-based digital advertising and rewards platform powered by BAT_ an ERC-20 token_ and Brave_ a new internet browser.,BAT is utilized within this ecosystem as a payment token allowing advertisers_ publishers_ and users to spend_ receive_ and earn BAT_ respectively.The token has a max supply of 1_500_000_000.,FALSE,https://messari.io/asset/basic-attention-token
BEAM,BEAM,BEAM,beam,Delisted,- Privacy token.,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/beam,null,null,TRUE,https://messari.io/asset/beam
Bella Protocol,BEL,BEL,bella-protocol,Active,null,DeFi,Yield,Yes,Yes,No,null,https://www.coingecko.com/en/coins/bella-protocol,null,null,FALSE,https://messari.io/asset/bella
Biconomy,BICO,BICO,biconomy,Active,null,Smart Contract Platform,Multi-Chain / Parachain,Yes,Yes,No,null,https://www.coingecko.com/en/coins/biconomy,null,null,FALSE,https://messari.io/asset/biconomy
Bidao,BID,BID,bidao,Sell Only,"- Limited access to liquidity
- Only listed on one supported decentralised exchange - Uniswap
- Liquidity on Uniswap is very poor.
  ",Currency,Stablecoin,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/bidao,Bidao is a new blockchain system that creates a trustless stablecoin and a new decentralized financial tool that allows leveraged trading in a trustless setup. Moreover_ Bidao is a one-stop-shop for DeFi applications.,BID is the native governance token of the Bidao ecosystem which is split into 3 avenues. BID allows holders to vote in community decisions and also acts as the main staking token for the network.,TRUE,https://messari.io/asset/bidao
Binance Coin,BNB,BNB,binancecoin,Active,null,Smart Contract Platform,Single Chain,Yes,Yes,No,BEP20,https://www.coingecko.com/en/coins/bnb,Binance Coin is digital asset native to the Binance blockchain and launched by the Binance online exchange.Binance launched Binance Chain_ its own public blockchain_ in April 2019. The team constructed Binance DEX_ a decentralized exchange that allows traders to keep custody of their cash_ on top of Binance Chain., BNB acts as the native token used as gas to pay for network transactions on Binance Chain_ a high-performance blockchain network. It initially operates with a small pre-selected validator set_ but the plan is to transition to a delegated proof-of-stake (DPoS) consensus mechanism where users can vote using their BNB for delegates that will validate blocks to secure the network. There is also a built-in governance module to let BNB holders submit proposals by depositing tokens which are then voted on.,FALSE,https://messari.io/asset/binance-coin
Binance USD,BUSD,BUSD,binance-usd,Active,null,Currency,Stablecoin,Yes,Yes,No,BEP20,https://www.coingecko.com/en/coins/binance-usd,Binance USD (BUSD) is a fiat-collateralized stablecoin that offers the advantages of transacting with blockchain-based assets while mitigating price risk. ,BUSD is a regulated_ fiat-backed stablecoin pegged to the U.S. dollar. For every unit of BUSD_ there is one U.S. dollar held in reserve. In other words_ the supply of BUSD is pegged to the U.S. dollar at a 1:1 ratio. Holders can swap their tokens for fiat and vice versa. Paxos_ the token’s issuer_ releases monthly attestations of BUSD’s reserves.,FALSE,https://messari.io/asset/binance-usd
Bitcoin,BTC,BTC,bitcoin,Active,null,Currency,Transparent DeFi Currency,Yes,Yes,Yes,Bitcoin,https://www.coingecko.com/en/coins/bitcoin,"Bitcoin is a digital currency which operates free of any central control or the oversight of banks or governments. Instead it relies on peer-to-peer software and cryptography. A public ledger records all bitcoin transactions and copies are held on servers around the world. In-depth Response
The Bitcoin network is an emergent decentralized monetary institution that exists through the interplay between full nodes_ miners_ and developers. It is set by a social contract that is created and opted into by the users of the network and hardened through game theory and cryptography.",Bitcoin (BTC)_ the native asset of the Bitcoin blockchain_ is the world's first digital currency without a central bank or administrator.,FALSE,https://messari.io/asset/bitcoin
Bitcoin Cash,BCH,BCH,binance-peg-bitcoin-cash,Active,null,Currency,Transparent DeFi Currency,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/bitcoin-cash,"Bitcoin Cash is a Bitcoin hard fork
 advocating for and building towards a literal interpretation of Bitcoin as a ""peer-to-peer electronic cash system"". It views cheap peer to peer transactions as the core value proposition of the network and is dedicated to increasing block sizes and on-chain transaction throughput in pursuit of this goal. This is in contrast to Bitcoin’s strategy of optimising for securely storing value.",BCH is used as a native currency within the Bitcoin Cash network. BCH can be used for peer-to-peer payments and value storage within the Bitcoin Cash network.,FALSE,https://messari.io/asset/bitcoin-cash
Bitcoin Cash ABC,BCHA,BCHA,null,Delisted,"- Now known as eCash
- Token has extremely long confrimation times while using their network and is prone to attacks",null,null,Yes,Yes,No,null,null,null,null,FALSE,https://messari.io/asset/bitcoin-cash-abc-2
Bitcoin Private,BTCP,BTCP,bitcoin-private,Delisted,"- Not listed on any supported centralised exchange.
- Not listed on any supported decentralised exchange.",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/bitcoin-private,null,null,FALSE,https://messari.io/asset/bitcoin-private
BitDegree,BDG,BDG,bitdegree,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/bitdegree,null,null,FALSE,https://messari.io/asset/bitdegree-1
BitShares,BTS,BTS,bitshares,Active,null,Smart Contract Platform,Single Chain,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/bitshares,"Bitshares is a cryptocurrency that describes itself as ""a stack of financial services including exchange and banking on a blockchain."" Tokens issued on the BitShares blockchain_ such as BitUSD and BitEUR_ are designed to be tied to real-world assets_ such as the dollar or euro.",The BTS token is the utility token that powers the BitShares platform. You can use it for many purposes_ including creating smart coins-BitAssets with various parameters that represent reward points.,FALSE,https://messari.io/asset/bitshares
BitTorrent,BTTC,BTT2,BitTorrent,Active,null,Computing,Shared Network,Yes,Yes,No,TRC-10,https://www.coingecko.com/en/coins/bittorrent,"The BitTorrent protocol enables client software endpoints (“clients”) to collaborate with each
other to enable reliable simultaneous distribution of large files to multiple clients_ reducing reliance on any single weak point (such as a server connection).",BTT is a TRC-10 utility token based on the blockchain that powers features of the most popular decentralized protocols and applications in the world. DApps powered by BTT include BitTorrent Speed_ BitTorrent File System_ DLive_ and others in the pipeline.,FALSE,https://messari.io/asset/bittorrent
BitTube,TUBE,TUBE,bittube,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/bittube,null,null,FALSE,https://messari.io/asset/bittube
Blocknet,BLOCK,BLOCK,blockasset,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/blocknet,null,null,FALSE,https://messari.io/asset/blocknet
Blox,CDT,CDT,blox,Delisted,"- No centralised or decentralised exchange support.
",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/blox,null,null,FALSE,null
Boba Network,BOBA,BOBA,boba-network,Active,null,Smart Contract Platform,Single Chain,Yes,Yes,No,null,https://www.coingecko.com/en/coins/boba-network,null,null,FALSE,https://messari.io/asset/boba-network
Burst,BURST,BURST,null,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://coinmarketcap.com/currencies/burst/,null,null,FALSE,https://messari.io/asset/burst
Bytecoin,BCN,BCN,bytecoin,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/bytecoin,null,null,FALSE,https://messari.io/asset/bytecoin
CanYaCoin,CAN,CAN,calluna-wallet,Delisted,- No Active Markets to trade token safely for clients,null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/canyacoin,null,null,FALSE,https://messari.io/asset/canyacoin
Cappasity,CAPP,CAPP,cappasity,Delisted,"- Token only on Kucoin
-  Very poor liquidity would not be able to safely trade this asset for clients ",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/cappasity,null,null,FALSE,https://messari.io/asset/cappasity
Cardano,ADA,ADA,binance-peg-cardano,Active,null,Smart Contract Platform,Single Chain,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/cardano,"Cardano seeks to use crypto to decentralise products and services by having programs users can interact with and create. 
These programs are called smart contracts. Smart contracts are basically a contract written in code with pre-determined conditions. When those conditions are met_ the contract carries out a set piece of tasks - also defined in the contract.",Its native token is Cardano (ADA)_ which primarily serves as a means of payment for transaction fees and have many use cases within DeFi. For example_ acting as collateral for borrowing. ,FALSE,https://messari.io/asset/cardano
Cardstack,CARD,CARD,cardstack,Delisted,"- Token on Kucoin and Uniswap
-  Very poor liquidity would not be able to safely trade this asset for clients ",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/cardstack,null,null,FALSE,https://messari.io/asset/cardstack-1
Cartesi,CTSI,CTSI,cartesi,Active,null,Smart Contract Platform,Single Chain,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/cartesi,"Cartesi is a Layer-2 platform for the development of smart contracts and decentralized applications (dApps). It intends to solve the problem of scalability and high fees on blockchains through two pieces of infrastructure.
The first is Descartes Rollups_ which is a variant of an optimistic rollup The second is Noether_ a sidechain that provides data availability to applications. When combined_ these products help Cartesi-based apps scale through both on-chain and off-chain components. ",(CTSI) is a multipurpose token that powers the Cartesi Proof of Stake network. It is primarily used for incentivizing Cartesi node operators to engage with the system honestly_ as well as for staking and paying transaction fees in the system.,FALSE,https://messari.io/asset/cartesi
Cashaa,CAS,CAS,cashaa,Delisted,"- Token only on Kucoin
-  Very poor liquidity would not be able to safely trade this asset for clients ",null,null,Yes,Yes,No,null,https://www.coingecko.com/en/coins/cashaa,null,null,FALSE,https://messari.io/asset/cashaa
Celer Network,CELR,CELR,celer-network,Active,null,DeFi,Atomic Swaps,Yes,Yes,No,ERC-20,https://www.coingecko.com/en/coins/celer-network,The Celer Network is building off-chain solutions for payment transactions and generalised smart contracts. It is intended to increase throughput to billions of transactions per second scaling linearly as more nodes get added to the network.,CELR is the native token of the Celer Network. It’s used to manage the network economy - and has several uses such as;,FALSE,https://messari.io/asset/celer-network
Celo,CELO,CELO,celo,Active,null,Smart Contract Platform,Single Chain,Yes,Yes,No,Mainnet,https://www.coingecko.com/en/coins/celo,Celo is a blockchain protocol that aims to address some of the barriers to cryptoasset adoption (user experience and volatility) by using phone numbers as public keys and issuing a native stable-value token. The network supports the development of smart contracts and decentralized applications. Its first application_ Celo Wallet_ intends to be a social-payments system centered around mobile phones.,The CELO cryptocurrency plays a key role in maintaining and operating the Celo platform_ and can be used for sending_ receiving_ holding and staking.The max supply of the token is 1_000_000_000.,FALSE,https://messari.io/asset/celo
